Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Linear + RBF, x:scaled, y:power",0.182592,0.030613656454172865,0.215167,0.09267003149907067,0.00354474,0.0015266802917734933,-1.85349,"DotProduct(sigma_0=0.896) + 0.189**2 * RBF(len_scale=[0.73, 2.69, 0.436, 0.852, 0.704])"
"Linear + RBF, x:scaled, y:pow-scaled",0.191329,0.19132928009666914,0.222952,0.09602318237403475,0.00358883,0.0015456683790744095,-23.9799,"DotProduct(sigma_0=0.237) + 0.455**2 * RBF(len_scale=[0.651, 3.44, 0.409, 0.835, 0.701])"
"Linear + RBF, x:none, y:power",0.281742,0.04723727461511035,0.346751,0.1493419275409188,0.00377254,0.0016247896984850586,-0.412177,"DotProduct(sigma_0=3.01e-06) + 0.249**2 * RBF(len_scale=[0.0573, 10, 0.104, 0.433, 0.461])"
"Linear + RBF, x:none, y:pow-scaled",0.140698,0.14069759696970835,0.172662,0.07436374251588933,0.00392912,0.0016922293225159904,-19.0206,"DotProduct(sigma_0=3.01e-06) + 0.453**2 * RBF(len_scale=[0.24, 0.303, 0.136, 0.235, 0.2])"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:scaled",0.0607633,0.06076325679428263,0.0607633,0.026170069967363423,0.00396797,0.0017089625877247034,-17.4623,"0.153**2 * Matern(len_scale=[7.21, 10, 0.184, 10, 10], nu=1.5) + DotProduct(sigma_0=1.42) + 0.844**2 * Matern(len_scale=[2.66, 3.2, 5.29, 3.12, 3.49], nu=2.5) + WhiteK(noise=0.000933)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:power",0.0509964,0.008550129836052944,0.0567096,0.024424193699596197,0.00415081,0.0017877095421257353,10.0367,"0.11**2 * Matern(len_scale=[10, 10, 0.369, 0.808, 0.845], nu=1.5) + 0.964**2 * Matern(len_scale=[4.84, 6.37, 10, 10, 10], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:power",0.0370524,0.006212258830702255,0.0426004,0.018347536217483404,0.00466105,0.002007464701203672,12.2454,"0.12**2 * Matern(len_scale=[10, 10, 0.129, 0.235, 0.27], nu=1.5) + 1.39**2 * Matern(len_scale=[1.53, 1.95, 10, 6.11, 4.08], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:none",0.0599705,0.025828623601932624,0.0599705,0.025828623601932624,0.00466837,0.002010613834987531,-2.07462,"0.141**2 * Matern(len_scale=[10, 10, 0.379, 0.876, 0.923], nu=1.5) + 1.78**2 * Matern(len_scale=[5.72, 7.06, 10, 10, 10], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:pow-scaled",0.0619399,0.06193985577012658,0.0766164,0.032997858392542226,0.00470478,0.002026298108498828,-15.3403,"0.254**2 * Matern(len_scale=[10, 10, 0.309, 0.732, 10], nu=1.5) + 1.07**2 * Matern(len_scale=[2.85, 3.79, 10, 6.13, 2.93], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:none",0.0448081,0.019298365930234332,0.0448081,0.019298365930234332,0.005067,0.002182299473604336,-5.63328,"0.127**2 * Matern(len_scale=[10, 10, 0.322, 0.825, 0.812], nu=1.5) + DotProduct(sigma_0=3.03) + 1.12**2 * Matern(len_scale=[4.67, 5.46, 7.89, 8.11, 10], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:logshift",0.255762,0.0651043891689351,0.130076,0.05602246534411105,0.00524692,0.0022597926228841974,7.40393,"0.038**2 * Matern(len_scale=[0.205, 10, 0.0385, 0.333, 10], nu=1.5) + 0.878**2 * Matern(len_scale=[0.962, 1.15, 1.17, 1.37, 1.91], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:logshift",0.255749,0.06510111251986336,0.130118,0.05604035325627027,0.00529032,0.002278481538756822,7.39969,"0.038**2 * Matern(len_scale=[0.802, 10, 0.141, 1.25, 10], nu=1.5) + 0.879**2 * Matern(len_scale=[3.71, 4.5, 4.29, 5.18, 6.81], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:logshift-scaled",0.256512,0.2565122761900901,0.138603,0.05969479244416821,0.00573103,0.0024682902792224834,-15.7197,"0.0791**2 * Matern(len_scale=[0.197, 10, 0.0397, 0.311, 10], nu=1.5) + 2.37**2 * Matern(len_scale=[1.15, 1.41, 1.44, 1.69, 2.28], nu=2.5) + WhiteK(noise=1e-07)"
